,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Staff Data Scientist I,-1,"Data Scientist – Machine Learning & Real-Time Decision Processing (Remote, US)

Valassis is a leader in online advertising technology. We process over 12 trillion calculations daily to analyze and decide on more than 110 billion digital ad requests. As a Data Scientist at Valassis your work is central to keeping us at the forefront of the AdTech industry.

We are seeking data experts who are passionate about using cutting edge technology and data science methods to solve unique and complex problems. The ideal candidate is innately curious about how data can be used to tell a story and inform decisions. You have honed your skills through a combination of education, work experience, and hobbies. You are excited about the complexity and challenges of creating intelligent, high performance systems while working with a highly experienced and driven data science team.

If this describes you, we are interested. You can be an integral part of a cross-disciplinary team working on highly visible projects that improve performance and grow the intelligence in our product suite. Our day to day work is performed in a progressive, high-tech workspace where we focus on a friendly, collaborative and fulfilling environment.

On any given day you’ll be…
Using geo location data to track foot traffic, commercial visitation and next most likely visit to understand consumer physical behavior.
Using online behavior data to determine the primary interest categories of consumers and the web properties they visit.
Implementing a predictive model to determine whether a person is likely to visit a car dealership based on the advertising signals they’ve received.
Monitoring & improving a system that deploys and refits 10’s of thousands of models daily.
Developing algorithms to optimize the setting of every lever in a high throughput real-time decision system.
Analyzing data to better understand how a neighborhood’s consumption of web pages correlates with visits to a local big box store.
Finding the handful of outliers in billions of transactions.
Deriving a set of new features that will help better understand the interplay between geography and audience features to improve model performance.
Building new products with applied AI and bring them to market.
Participating in planning, roadmap, and architecture discussions to help evolve our AI processes to improve revenue-generating products.
Our ideal candidate will likely have…
The professional experience and desire to perform responsibilities similar to those listed above
An advanced degree in a relevant, quantitative field or equivalent experience working with Big Data and Spark in a professional setting
Ability to grow and ultimately mentor team members of varying experience levels and competencies through data science, product and software development life cycles
WHO WE ARE
Valassis is a leading digital marketing intelligence company, providing a best-in-class data management platform and online and offline targeting capabilities that fuel superior display advertising and media offerings. Through proprietary technology and the Valassis Digital Consumer Graph™, we power the lifecycle of marketing campaigns – from planning to activation and measurement. In fact, 19 of 20 leading brands work with Valassis to drive better campaign performance.

WHAT'S IN IT FOR YOU?
Valassis has a generous total rewards benefits package that includes medical, dental and vision coverage, 401k and PTO allowance. A wide variety of additional benefits like life insurance, employee assistance and pet insurance are also available; not to mention smart and friendly coworkers!

Valassis is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law. Applicants who have disabilities may request that accommodations be made in order to complete the selection process.

EEO is the law. To review your rights under Equal Employment Opportunity please visit: www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf.

#LI-JM1",3.4,"Valassis
3.4","Morrisville, NC",-1,1001 to 5000 Employees,1970,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
1,Research Data Scientist,-1,"IAI is looking for a talented research scientist to contribute to research and development efforts in machine learning, graph theory, and scientific software development. The candidate will incorporate novel ideas and improve the state of the art on advanced projects related to processing of large networks, analyzing data in high dimensions and implementing high performance computing software. Additionally, the candidate will develop a portfolio of related research by extending existing work and proposing new methods with novel application domains.

You are highly encouraged to apply if you enjoy working with data and algorithms, passionate about understanding how things work, want to solve complex problems and strive to stay current on the technology and literature in areas of high performance computing, network analysis and machine learning.

JOB DUTIES

Design and develop scalable machine learning and network analytic algorithms
Evaluate performance of a variety of machine learning and network analytic algorithms
Debug and solve problems in complex environments
Explore use of novel methods for compression, dimensionality reduction and summarization
Communicate findings effectively in the form of briefings and technical reports
Formulate research ideas/hypotheses to solve new problems

DESIRED SKILLS

Algorithm development experience in Python, C/C++ and/or Java
Development of machine learning and/or graph-based algorithms (e.g., scikit-learn, networkx, mlpack, weka)
Familiar with high performance and big data computing technology (e.g., MPI, OpenMP, OpenACC, CUDA, opencl, mapreduce, hadoop, spark, BSP)
Exposure to graph traversal languages and graph databases (e.g., Apache Tinkerpop, neo4j, JanusGraph)
Familiar with word embedding methods (e.g., word2vec, GloVe, doc2vec)
Comfortable working on linux systems

EDUCATION

A Masters degree or Ph.D. in Computer Science, Engineering, Mathematics, Physics or related field is required.

About IAI

IAI is a technology innovation company specializing in providing advanced technology solutions and R&D services to federal agencies and corporations. IAI leverages agile R&D processes, a multi-disciplinary collaborative environment, and its substantial intellectual property portfolio to excel in developing concepts into market-focused products and customer-driven solutions. IAI’s core R&D areas include: AI & Advanced Computing; Autonomy & Robotics; Healthcare Research Technologies; Modeling, Simulation & Visualization; and Networks & Cyber Security; and Radar, Communications & Sensors. For more information about IAI please visit www.i-a-i.com.

US Citizenship or Permanent Residency required

All qualified applicants will receive consideration for employment without regard to race,

color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.

Requisition ID:",3.6,"Intelligent Automation
3.6","Rockville, MD",-1,51 to 200 Employees,1987,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD),-1
2,Data Analyst,-1,"Rational is growing, and we need amazing talent to join our team. If you have an entrepreneurial attitude with a deep spirit of service and killer subject expertise, we want to talk to you. We are always looking for the next great consultant to raise the bar and push Rational to be better than we were yesterday. Staying hungry, curious, and looking forward to what’s next is part of our DNA.

This Data Analyst will be part of Rational's Technology & Data Practice and supporting one of our large biotech projects. This individual will provide strategic and tactical consultation, leadership in delivering solutions, and oversight of processes and systems.  The position requires solid technical foundation, domain knowledge, as well as strong verbal and written communication skills with a proven ability to clearly communicate technical information to a non-technical audience.

This is a full time position within Rational's Technology Practice. This position is not available for Visa sponsorship or C2C work.

What you will do:
Serve as the Business Analyst subject matter expert supporting, but not limited to Commercial portfolio
Network with a new and evolving IT environment, business team, and vendors to foster strong relationships and build partnerships
Understand strategy and how it translates to executable programs, projects, and efforts that align with strategic goals while taking the environmental constraints and opportunities into account
Collaborate with cross-functional professionals to deliver high-quality and innovative solutions that meet the business needs and create new opportunities
Provide analytic support of various levels of complexity including large, multi-year, cross-functional efforts with internal and external influencing factors
Negotiate conflicts and complex issues to an expeditious and satisfactory resolution
What you will bring:
3+ years of exposure to the orchestrating technology solutions for technical and/or Biotechnology or Pharmaceutical organizations
3+ years of experience in the Business Analysis or equivalent role with solution delivery and process improvement supporting cross-functional implementation of IT solutions in the Biotechnology or Pharmaceutical industry
3+ years of experience in organization financials, financial reporting
Familiarity with applications used in the business area such as Salesforce and Veeva
Working experience in SQL Server and Snowflake (preferred, but not required)
Proven knowledge of IT solutions and application management through various product cycles and evolving work environments
Demonstrated technical understanding of application architecture to include application servers, web servers, configuration files, relational databases, and reporting applications
Ability to proactively plan, organize, deliver with limited oversight, prioritize, and quickly adapt to changing situations
Excellent communication skills, including the ability to interface and influence internal and external partners at multiple organization levels
Strong interpersonal and negotiation skills, with a high degree of self-motivation and ability to work independently
Proficient in essential tools such as Power BI, Smartsheets, PowerPoint, Visio, etc.
Who you are:
Data Lover. You know your numbers and value the metrics behind the buyer story.
Collaborative to the Core. Demonstrated ability to work in a team environment, as a leader and member.
Well-rounded Professional. You have amazing communication and organizational skills along with high EQ.
Proactive. You are always thinking ahead about what is best for the Client.
Adaptable. Change happens at lightning speed; you are flexible, enjoy challenge, and get behind new ideas
Rational is a customer experience (CX) solutions firm that pairs the capabilities of a strategic consultancy with the creativity of a full-service digital agency. We design and activate compelling experiences that create strong connections between people and brands. We put humans at the center of business and partner with our clients to deliver meaningful experiences that help their customers while driving business success. Customer satisfaction at every level is our ultimate metric, and it's what drives our mindset, skillset, and company culture.

Incredible people are our non-negotiable. Our experienced team of consultants spans the globe. We love what we do, and who we do it with – let’s begin our next chapter together.

Rational is committed to ensuring all candidates have an equal opportunity to be considered for employment. Please let us know if you need any reasonable accommodation to participate in the job application or interview process.",2.7,"Rational
2.7","Redmond, WA",-1,201 to 500 Employees,2009,Company - Public,Consulting,Business Services,Unknown / Non-Applicable,-1
3,Scientist Virtual Hiring Event,-1,"AllSTEM Connections Hiring Event!

Event Details
Date: Friday, October 23, 2020

What We're Hiring For

Scientist

Intake Details:

Requirements

Bachelors in Biology

Lab experience in Cell Culture

Experience working with BSL-2 organism

Technical requirements

The interview will take place on Indeed's virtual interviewing platform. After RSVP, you will find a link in your email that will lead you directly to the video interview lobby during the event. Try to find a quiet place with good lighting and a stable internet connection.

What to bring to this event

Resume

References

What to wear

Dress code is Casual (come as you are, but please be presentable).

About AllSTEM Connections

AllSTEM Connections is a professional staffing agency. We work nationally and connect with STEM professionals to find the right next career move!

CREATING POWERFUL CONNECTIONS! Connecting is for everyone…. AllSTEM Connections aligns your best personal career strategies with the unique needs of our customers. We lead the talent revolution through inspiring and designing the models of how work is accomplished now and how it evolves into the future.

What is a Virtual Hiring Event?
Virtual hiring events are a great way for employers and jobseekers to connect, even if they aren't in the same physical location. Hiring is a human process, and they would like to talk with you online (either through chat, on the phone, or video) to see if you’re a fit!

AllSTEM Connections is looking for a Scientist to work in West Point, PA. This is a contract opportunity with possibility of direct hire with benefits.

Responsibilities:

Prepare laboratory reagents, solutions and culture media
Perform lab-scale upstream processing of vaccine products and process intermediates (including Biosafety Level-2 virus)
Setup process equipment for lab-scale experiments
Perform in-process monitoring assays
Analyze, collate, track, and report data back to client staff members
Maintain records and test results following good laboratory practices (GLP)",5.0,"AllSTEM Connections
5.0","Lansdale, PA",-1,Unknown,-1,Unknown,-1,-1,Less than $1 million (USD),-1
4,Business Intelligence Analyst,-1,"Work with the business to determine and document reporting and analytic requirements, create mock-ups, and develop reports, dashboards and analytics that help drive company objectives.
Develop and maintain a set of Metrics and KPIs to drive efficiency and measure productivity within the Sales and Operations teams
Tell stories with data and propose analytical solutions instilling confidence to leaders making operational and strategic business decisions
Develop data and reporting requirements documentation in line with data systems framework including business requirements documentation, report mock-ups, data mapping and test plans
Manage expectations by communicating project plans, features, and statuses to business stakeholders
Build strong relationships within the business and support functions to understand the business needs
Construct reporting utilizing Excel, Cognos, and NetSuite to drive insight for sales and operational leadership
Collaborate and knowledge share to ensure single source of truth for all data
Perform ongoing assessment of analytics tools and dashboards relative to their usability, efficacy and adoption with their respective audiences
Synthesize data to provide executives with actionable insights as input to corporate, product and sales strategy
Plan and facilitate requirements gathering sessions, meetings, and presentations
Bachelor's degree
4+ years prior Strategy, Consulting, Sales/Marketing Operations or Medical Products experience
Excellent communication skills, both written and verbal
Understands internal/external communication channels and escalates appropriately
Comfortable with ambiguity and able to work through it to get the right things done
Strong initiative; able to self-manage
Proficient in the following: Excel and SQL
Familiar with at least one of the following: Netsuite, Cognos, Prophix
While this position can be done remotely, candidate will be required to be on-site at the Clearwater location for initial 90 days of employment. *
Job Type: Full-time

Pay: $60,000.00 - $65,000.00 per year

Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Flexible spending account
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Monday to Friday
COVID-19 considerations:
Practicing social distancing, masks optional.

Experience:
Strategy; Sales/Marketing Operations: 4 years (Required)
Education:
Bachelor's (Preferred)
Location:
Clearwater, FL (Required)
Language:
English (Required)
Work authorization:
United States (Required)
Shifts:
Morning (Required)
Working Days:
Monday (Required)
Tuesday (Required)
Wednesday (Required)
Thursday (Required)
Friday (Required)
Work Location:
One location
This Job Is Ideal for Someone Who Is:
Dependable -- more reliable than spontaneous
People-oriented -- enjoys interacting with people and working on group projects
Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction
Detail-oriented -- would rather focus on the details of work than the bigger picture
Company's website:
mercurymed.com
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
Yes",3.4,"Mercury Medical
3.4","Clearwater, FL",-1,51 to 200 Employees,1963,Company - Private,Health Care Products Manufacturing,Manufacturing,$25 to $50 million (USD),-1
5,Scientist,-1,"Responsibilities of the Scientist:

Will work with mouse models and perform molecular biology techniques.
Directs and implements sub-projects within overall project.
Manages team of junior technicians to achieve project goals.
Plans, schedules, and coordinates detailed phases of projects.
Collects, analyzes, and interprets data.
Identifies and resolves technological and methodical problems, troubleshooting when necessary.
Performs experiments to further project goals.
Summarizes data, presenting data weekly at lab meeting.

Requirements of the Scientist:

PhD in Biology, Molecular Biology, or related area.
Must have experience with immunology and mouse models.
Superior ability to make independent judgments of experimental priorities.",4.8,"Commonwealth Sciences
4.8","Boston, MA",-1,1 to 50 Employees,2004,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1
6,Data Analyst,-1,"DEPARTMENT: Analytics
POSITION SUMMARY
NewDay USA is a leading nationwide lender focusing on providing financial solutions to American families. Our analytics team is currently seeking a data analyst to join our team on a full-time basis.
POSITION DUTIES AND RESPONSIBILITIES
Analyzing business data
Summarizing different analysis results and presenting findings
Conducting business studies on demand
Managing existing reporting services as well as creating and automating ad-hoc reports
Operating enterprise-specific software
Troubleshooting regular dataflow functions
Running and optimizing day-to-day business functions
Managing projects and business accounts
POSITION QUALIFICATIONS
Education/Certification:
Bachelor’s Degree in mathematics, statistics, or related fields
Experience:
Strong analytical, business and problem solving skills
Experience with MS Office products
Expertise in MS Excel
Attention to detail
Efficient organizational skills and demonstrated follow-through on deliverables
Strong interpersonal, verbal and written communication skills
Prior operations experience within a financial firm is a plus
Experience with MS SQL Server database and/or the SQL language is a plus

Our Values:
Ship, Shipmate, Self
Training for a Career
World-Class Service
Providing Opportunity
Integrity
Resilience
Giving Back
Our Diversity:
We aim to foster a culture where individuals of all backgrounds feel confident in bringing their whole selves to work, feel included and their talents are nurtured, empowering them to contribute fully to our vision and goals. It is the policy of NewDay USA to ensure equal employment opportunity without discrimination on the basis of race, color, creed, religion, national origin, alienage or citizenship status, age, sex, sexual orientation, gender identity or expression, marital or domestic/civil partnership status, disability, veteran status, genetic information, or any other basis protected by law.
Benefits:
Health Insurance
401K
Competitive Salary
Uncapped Bonuses
Profit Sharing",3.9,"NewDay USA
3.9","Fulton, MD",-1,501 to 1000 Employees,1999,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
7,Data Scientist Risk Analyst,-1,"Overview:

Oasis Systems has an exciting opportunity for a Data Analyst to support the Commodity Futures Trading Commission (CFTC) in Washington, DC.
The successful candidate shall provide support in data analytics, Python, data visualization, dashboards and use of data analytic tools. Activities which the contractor may be tasked to perform include gathering requirements from stakeholders, conducting financial data analysis and risk analysis in a Big Data environment, and creating interactive dashboard reports and documentations.

LOCATION: Washington, DC

JOB STATUS: Full-Time

REQUIRED QUALIFICATIONS (Education, Certifications, Experience, Skills)

SECURITY CLEARANCE: Ability to pass a Special Agreement Check (SAC) and a National Agency Check and Inquires (NACI) Background Investigation

EDUCATION: Bachelor’s degree

CERTIFICATIONS AND TOOLS: Certifications in Data Analytics program languages such as Python and R preferred but not required. Experience with Global Risk product a plus, but not required.

EXPERIENCE LEVEL: A minimum of 8 years of relevant experience in the data analysis field and a minimum of 5 years of industrial analytics experience using Python (recent use during the past 3 years) as well as extensive experience with SQL.
Specific experience with financial or market risk analysis is a Must.

DESCRIPTION: Functionally, the candidate will be responsible for:

Work closely with the customer to gather and document project requirements.
Perform data manipulation and advanced data analysis including financial modeling, data mining, and Machine Learning techniques.
Perform risk analysis which may include a broad range of financial risk measures, (such as Value at Risk (VaR): computation and evaluation, VaR tracking (VaR evolution over time), Incremental (and marginal) VaR calculation for individual asset classes /positions, conditional VaR, stress testing).
Test each project thoroughly before presenting it to the task order project manager for quality control. Document test results as part of the project closeout documentation.
Create documentation as required under the PMLC and the Configuration Change Board (CCB) in order to move projects to the production environment.
Coordinate with internal and external organizations providing data to understand and resolve improper data formatting and other integration issues.
Participate in facilitated meetings between stakeholders at CFTC which may include regular status meetings, user acceptance testing meetings and ad hoc development discussions.
Data analysis tasks may be varied. They will include complex data requests that require data mining, extraction, and query optimization services from Divisions throughout the CFTC.
Assist business users, economists, statisticians, and others, as required, to support effective use of analytic techniques and CFTC-approved tools to meet the customers various analytic needs.

Who We Are

Oasis Systems is a premier provider of customer-driven, cost-effective and quality Engineering Services; Enterprise Systems and Applications; Human Factors Engineering; Information Technology and Cyber Security; Professional Services; and Specialized Engineering Solutions to the Department of Defense, FAA, NRC and other federal agencies.

We strive to be an exciting and welcoming company that attracts, develops, motivates and retains the most talented, skilled and dedicated people in the industry; where they are encouraged to achieve personal excellence, purpose, and their full potential and career aspirations; while supporting mission-critical national security technologies and programs.

Oasis Systems is an equal opportunity employer and does not discriminate in hiring or employment on the basis of any legally protected characteristic including, but not limited to, race, color, religion, national origin, marital status, gender, sexual orientation, ancestry, age, medical condition, military veteran status or on the basis of physical handicap which, with reasonable accommodation, render the application to satisfactorily perform the job available.",3.8,"Oasis Systems LLC
3.8","Washington, DC",-1,1001 to 5000 Employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
8,Data Analyst,-1,"We are OANDA:

We are an award-winning global financial services company offering leading currency solutions and online trading platforms for both retail and corporate clients. Our vision is to transform how our clients can meet all of their online trading and currency needs with innovative and award-winning solutions.

Backed by one of the world's largest private equity firms, with significant ambitions to grow the business on the global stage, we are looking for highly motivated, passionate individuals who want to make a mark in a dynamic, start-up feel environment.

About you:
Do you want to work with great people in an energetic and open company culture?
Do you want to make your mark with an Agile team that is re-shaping the future of data and analytics at OANDA?
Do you enjoy collaborating across different disciplines within a company to drive towards a common goal?
Are you passionate about finding efficient solutions to technical problems?
Are you curious about what makes a company succeed?
Is data not just the answer, but the means to asking more questions to you?
If so, we want to hear from you!

In this role you will:
Partner with a cross-section of the company including Strategy, Product, Customer Service, Marketing, Sales, Trading, Finance and Compliance, to answer high-level business questions and gain insights from the data you help to collect and manage
Perform data analysis and modeling, create reporting and visualizations and educate the company on your findings
Influence the company's strategic directions by driving data driven decision making across the organisation
Identify and apply statistical and advanced analytical methods with customer teams enabling action-orientated results
Participate in planning sessions with key stakeholders, working with them to understand the business need and then developing actionable insights
Create rapid prototypes with team members leveraging Big Data, traditional database technologies and alternative solutions
Our ideal candidate will:
Be passionate about engineering an efficient solution to a technical problem
Be able to translate complicated business requests into actionable and understandable data insights
Have a Bachelor's/Master's degree in Mathematics, Economics, Finance, Computer Science or related subjects
Have significant experience working in both SQL and Python
Have experience working within Finance or FinTech industries
Have worked in, and with, Google Cloud/BigQuery/BigData or other cloud technology as an asset
Have worked with enterprise business intelligences platforms such as Tableau, Domo or MicroStrategy, with Domo as an asset
Our Team:
Is a cross-functional Data team made up of data scientists, data and software architects, software engineers and data analysts spanning the globe
Has ownership over data company-wide, from analytics to global business reporting, compliance reportings and any other data inquiries
Manages the entire data lifecycle from extraction to visualization
Works in the Google Cloud Platform, SQL, Python, Java, C++ and are always prototyping new technologies
We Value Our People:

OANDA Global Corporation is a diverse and global team with offices around the world. We value the unique skills and experiences each individual brings to OANDA. We are committed to creating and sustaining a collegial work environment in which all individuals are treated with dignity and respect and one which reflects the diversity of the community in which we operate. We provide an inclusive and accessible environment for everyone.",2.5,"OANDA
2.5",United States,-1,201 to 500 Employees,1994,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,-1
9,RESEARCH SCIENTIST,-1,"InfoBeyond is seeking outstanding researchers to fill out our two positions of Research Scientist. By working together, we strive to develop innovative solutions that can create a positive impact on the world. We provide especially attractive benefits for researchers who are highly-skilled in creativity. You are expected to have some of the following background (not necessary all):

Education Requirements:
Doctoral Degree (Ph.D.) in Computer Science, Computer Engineering, Electronic Engineering, or related fields
Research on Blockchain, Power Grids, AI/ML, Computer Vision, Cybersecurity, or Radar is welcome (Not Required to Meet All)
High quality of publications in conference and Journals
Math background on Optimization or Statistics is highly desirable (Not Required to Meet All)
Other Requirements:
Proposal writing experience or software development
Demonstrated passion and creativity on state-of-art projects, scientific publications, etc. (Please include all your publications in CV)
U.S. Permanent resident or U.S citizenship is a plus
Exceptional writing skill and excellence in communication
C/C++ or network-based program/simulation experience on industry or research projects
Compensation*:

Start with $75,000.00 to $81,000.00 per year.

Job Location: Louisville, KY
Working conditions: 40+ hours per week.

Submit resume with complete references to: Bin Xie, InfoBeyond Technology, LLC, 320 Whittington Parkway, Suite 117, Louisville, KY 40222. An EOE.

Please contact us for any questions.

Job Type: Full-time

Pay: $75,000.00 - $81,000.00 per year

Additional Compensation:
Bonuses
Work Location:
One location
Benefits:
Health insurance
Dental insurance
Vision insurance
Schedule:
Monday to Friday",5.0,"InfoBeyond Technology LLC
5.0","Louisville, KY",-1,1 to 50 Employees,-1,Unknown,-1,-1,Less than $1 million (USD),-1
