Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,min_salary,max_salary,avg_salary,city,state,same_state,company_age,job_tag,job_level,num_competitors
Data Scientist,70-116 ,"Secure our Nation, Ignite your Future

Join the top Information Technology and Analytic professionals in the industry to make invaluable contributions to our national security on a daily basis. In this innovative, self-contained, Big Data environment, the ManTech team is responsible for everything from infrastructure, to application development, to data science, to advanced analytics and beyond. The team is diverse, the questions are thought-provoking, and the opportunities for growth and advancement are numerous

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies

Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Bachelor of Science or equivalent and 12-15 years related experience, but will consider all levels of experience.
Desired Experience, Skills & Technologies
Previous investigative experience using a combination of technical and analytic skills
#LI-DU1

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,ManTech,"Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1,0,70,116,93.0,Chantilly, VA,0,52,data scientist,n/a,0
Data Scientist,70-116 ,"VA Boston Healthcare System
Boston, Massachusetts
Come join us in Boston at The VA Boston Healthcare System (VABHS), New England's premier referral center for Veterans' healthcare. VABHS is the largest recipient of VA research funds in the nation and ranked #3 among 146 VA facilities nationally for overall employee satisfaction.
Our research group at the VA Boston Healthcare System has a full-time Data Scientist opening for individuals who love working with data and want to use their data science skills to help VA researchers conduct high-impact research that expands our understanding of human health and improves healthcare outcomes for Veterans. You will join a strong, collegial, diverse, and talented team of computer scientists, statisticians, and clinicians at the VA.
Why should a data scientist work at the VA? The VA has the largest integrated medical records database in the United States, with comprehensive clinical information on over 22 million patients (2 trillion+ rows, 22,000+ columns of data), including large amounts of both structured and unstructured data. The VA also has large databases of genomic and imaging data. Working with our group at the VA offers the opportunity to execute high-impact projects with large-scale real-world healthcare data that is unavailable at most other institutions.
Core responsibilities
Use advanced data analysis methods (from machine learning, artificial intelligence, applied statistics, etc.) to assist in building predictive models of healthcare outcomes from the largest integrated medical records database in the United States.
Extract, clean, and validate data in preparation for analysis, starting from raw data in a large relational database.
Carry out exploratory analysis and data visualization and summarize analysis results.
Collaborate with a range of researchers, including clinicians, computer scientists and statisticians to design and execute analyses.
Assist in developing improved data science methodology in relation to healthcare data.
Assist in publishing papers on our findings, systems, and methodology.
Qualifications
MUST be a US Citizen and MUST clear a US government background check
Undergraduate or graduate degree in a science related field or master’s degree in computer science, statistics, informatics, physics, computational biology or science related field.
Proficiency in programming with R and/or Python to carry out data analysis in large and complex datasets.
Experience working with relational databases using SQL or willingness to learn.
Ability to move projects forward independently with moderate support.
Ability to work effectively in multi-disciplinary teams.
Passion for advancing healthcare research through creative use of data.
Strong communication and collaborative research skills required.
Experience using version control and reproducible research (git, knitr, etc.) is preferred.
Experience with electronic medical record data or clinical databases preferred.
If providing care for our veterans is something that appeals to you while enjoying amazing benefits, in addition to working and living in an area rich in history, culture, and recreational opportunities, this position is for you!
Applicants should submit a cover letter and CV or inquiries to Nathanael.Fillmore@va.gov by July 31, 2020. Include “Data Scientist” in the e-mail subject line. Please confirm US citizenship in your cover letter.
EEO/Equal Opportunity Employer",3.6,VA Boston Healthcare System,"Boston, MA","Boston, MA",201 to 500 employees,-1,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,0,70,116,93.0,Boston, MA,1,-1,data scientist,n/a,0
Data & Analytics Consultant,70-116 ,"WHO WE LOOK FOR

An SEI Consultant is a master communicator and active listener who understands how to navigate an audience. Self-aware, almost to a fault, SEI consultants keenly understand how to adjust their approach based on the situation. Following a logical, fact-based approach, our consultants possess the superior ability to see correlations others may not, ask the right questions and drive solutions.

As super-connectors, our consultants connect not only people, but data, trends and experiences. Mature, humble, and genuine, SEI Consultants frequently go above and beyond for both their clients and their colleagues. SEI Consultants are ethical and trustworthy individuals who do what they say. SEI Consultants have an insatiable curiosity and love to learn. These individuals are commonly tech savvy and early adopters. Their passion for learning is infectious and excites others.

As every project is different, an SEI Consultant must be adaptable and comfortable with unexpected situations. An SEI Consultant must be at ease with ambiguity because although a client knows that a problem exists – they need SEI to figure it out and drive a solution. SEI Consultants define ambition differently. SEI Consultants are authentic, low-maintenance individuals who like to hang out with colleagues outside of work. Whether it be cooking, traveling, hiking, or volunteering, SEI Consultants enjoy working with genuine, thoughtful folks who want to steer clear of the traditional grind and share the joy of day-to-day life and activities with colleagues, friends and family.

WHAT WE DO

Our consultants work with clients at all levels of the organization, from the C-suite to the shop floor, helping them to deliver on their most strategic initiatives. We’re known for making realistic, data-driven decisions that deliver value in tangible ways to our clients. Our clients ask for us on projects that require a superior combination of technical and business capabilities, people and management skills, and a collaborative mindset. We excel in understanding complex programs and strategic initiatives and breaking them into actionable pieces.

We are actively looking for professionals in the following areas:
Data Strategy and Governance
Database Architecture and Development
Data Analysis
Reporting and Data Visualization
The ideal candidate will:
Have experience understanding and solving real business problems
Solid writing and speaking skills to support data storytelling
Ideal candidates may call themselves Data Engineers, Data Scientists and Analysts and Data Governance professionals. Experience may include but is not limited to the following:
Experience with statistical and mathematical modeling, artificial intelligence and machine learning software and methods
Specialization in architecting enterprise solutions with visualizations and data-discovery tools such as Tableau, QlikView, Spotfire, Amazon Web Services, Cloud, Salesforce
Technical capabilities that include designing scalable data architectures, solution performance tuning, and hardware sizing
Experience and knowledge of programming and scripting languages, such as , Python, Java, C#, PL/SQL, R and SAS
Experience and knowledge of relational and dimensional database structures, theories, principles, and practice used in data warehousing and analytics solutions
Experience managing, populating, and querying database technologies including RDBMS, NOSQL, and big data platforms and experience working with these technologies' ecosystems
QUALIFICATIONS

Required
Demonstrated business and technology acumen
Proven track record of delivering results
Experience working with and/or leading a team
Ability to work independently
Ability to work across industries, roles, functions & technologies
Positive can-do attitude
A curiosity for new technology
Authorization for permanent employment in the United States (this position is not eligible for immigration sponsorship)
Preferred
Bachelor’s degree (Mathematics, Computer Science, or related field preferred)
8+ years professional experience
Consulting experience
Experience across our service offerings",4.6,SEI,"Cincinnati, OH","Cincinnati, OH",201 to 500 employees,1992,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,0,70,116,93.0,Cincinnati, OH,1,28,other,n/a,0
R&D Scientist,70-116 ,"Since 2001, Hygiena has been on a mission to be the global leader in rapid industrial diagnostic testing. Our world-class team of innovators, leaders, creators and problems solvers has helped Hygiena become the breakaway leader in the markets we serve. In our growing global business, there is always opportunity for talented and passionate individuals to grow with Hygiena.

We are currently recruiting for an R&D Scientist to join our Qualicon Diagnostics team located in Delaware!

In this role the R&D Scientist will be responsible for the development and improvement of rapid methods for microbial detection. Design, develop and help with commercialization of new molecular diagnostic products and implementing new technologies that are essential for Hygiena’s product base.

Responsibilities:
•Design and perform studies and experiments needed to improve current methods, assess and develop alternative methods, assays and technology
•Write protocols, analyze and interpret results
•Communicate results at team meetings

Qualifications:
•Ph.D. in Molecular Biology or a related field
oMinimum of 2 years of lab experience
OR
•Master’s Degree in Molecular Biology or a related field required.
oMinimum of 5 years of lab experience
•Hands-on experience in designing studies and experiments and analysis of failure modes with some supervision
•Knowledge of traditional and rapid microbiological techniques is required
•Experience in molecular biological techniques, including DNA/RNA techniques and PCR, qPCR/real time PCR is required
•Experience in Bioinformatics (Primer/Probe Design, multiple sequence alignments, Design of TaqMan and Scorpion probes) is desirable
•Experience in food microbiology, food safety a plus
•Experience in data analysis, interpretation and presentation of results
•Experience in Microsoft Office (Outlook, Word, Excel, PowerPoint) and Adobe Acrobat required.

Supervisory Responsibilities:
•Train and supervise junior level scientist and new employees as needed

Skills/Abilities:
•Assay Development
•Data analysis and interpretation
•Excellent verbal and written communication,
•Must be able to use discretion and independent judgement.
•Self-disciplined and organized
•Ability to multi-task and handle multiple projects
•Must be able to work in a team environment.
•Must be able to pay close attention to details.
•Must be able to adapt and flex to a changing environment.
•Must be able to lift/carry 20 pounds.

Working Conditions:
•May require occasional travel
•May occasionally work evenings and/or weekends.

Physical Demands:
•This position is considered light work - exerting up to 20 pounds of force occasionally, and/or up to 10 pounds of force frequently, and/or a negligible amount of force constantly to move objects. If the use of arm and/or leg controls requires exertion of forces greater than that for sedentary work and the employee sits most of the time, the job is rated for light work.
•Required to have close visual acuity to perform an activity such as: viewing a computer screen
•Frequently required to maintaining a static position, talking, hearing, seeing and repetitive motions.

Work Environment:
•The work environment includes both a typical office environment and a laboratory environment, including exposure to Biosafety Level 2 pathogens

Why you’ll want to join our team.
Teamwork as a core value.
At Hygiena, our emphasis on teamwork and cross-functional communication enables us to build stronger bonds within our business.

Be a part of something big.
Hygiena plays a critical role in helping to prevent global health crisis such as foodborne illness, healthcare-associated infections, and other outbreaks.

Giving back to our communities.
Hygiena believes in giving back by supporting local organizations committed to improving the lives of children and youth in our communities.

Apply Now",3.9,Hygiena,"New Castle, DE","Camarillo, CA",201 to 500 employees,-1,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Ecolab, Eurofin Private Investment Office",0,70,116,93.0,New Castle, DE,0,-1,other,n/a,2
Data Scientist,70-116 ,"Why We Work at Dun & Bradstreet


We are at a transformational moment in our company journey - and we’re so excited about it. Each day, we are finding new ways to strengthen our award-winning culture, and to accelerate creativity, innovation and growth. Our purpose is to help customers improve business performance with Dun & Bradstreet’s Data Cloud and Live Business Identity, and we’re wildly passionate and committed to this purpose. So, if you’re looking to make an immediate impact at a company that welcomes bold and diverse thinking, come join us!



As a Data Scientist, you will develop novel solutions to market-driven problems using knowledge of the latest ML techniques, rigorous statistical analysis, and practical experience on previous data science projects. You will collaborate with internal and external stakeholders (external customers, other D&B data scientists, sales team members, business unit product leaders, development teams, and global partners) to understand business needs and technical requirements.

You will also:
Serve as a Subject Matter Expert on internal D&B data, and estimation of business size.
Participate and support other teams as needed for all aspects of model development, including design, model implementation, validation, calibration, documentation, product implementation, monitoring, and reporting
Research complex business issues and recommend solutions, including customer data input requirements, other required data sets, modeling approaches, and end products
Basic Qualifications:
Masters in a quantitative / applied field (Engineering, Computer Science, Operations Research, Mathematics, Data Science, Economics, Statistics).
2+ years of experience in data science roles.
Strong knowledge of programming and modeling using Python, R, or SAS.
Strong SQL skills and experience working with large data sets.
Experience working collaboratively, including building and maintaining relationships with internal and external stakeholders/clients.
Experience advising a team on innovative methodologies, data science tools, and environments.
Experience communicating complex ideas to both a technical and non-technical audience.
Experience applying modern machine learning techniques.
Preferred Qualities
Creative and inquisitive in nature, flexibility to learn and apply new methodologies.
Strong writing skills.
Dun & Bradstreet is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, age, national origin, citizenship status, disability status, sexual orientation, gender identity or expression, pregnancy, genetic information, protected military and veteran status, ancestry, marital status, medical condition (cancer and genetic characteristics) or any other characteristic protected by law.

We are committed to Equal Employment Opportunity and providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with Dun & Bradstreet and need special assistance or an accommodation to use our website or to apply for a position, please send an e-mail with your request to TalentAcquisitionTeam@dnb.com. Determination on requests for reasonable accommodation are made on a case-by-case basis.

Please note that all Dun & Bradstreet job postings can be found at https://dnb.wd1.myworkdayjobs.com/Careers and all communication from Dun & Bradstreet will come from an email address ending in @dnb.com.",3.1,Dun & Bradstreet,"Austin, TX","Short Hills, NJ",1001 to 5000 employees,1841,Company - Private,IT Services,Information Technology,$1 to $2 billion (USD),"Experian, Equifax",0,70,116,93.0,Austin, TX,0,179,data scientist,n/a,2
"Scientist, Pharmacology",70-116 ,"Sutro has a unique capability that enables new molecular entities to be designed using a hybrid of synthetic and recombinant technologies to create best in class therapeutics in the oncology and auto-immune disease space. Our portfolio includes antibody-drug conjugates, bispecific antibodies, cytokine derivatives and other novel immuno-stimulatory approaches.

Sutro Biopharma is looking for a talented and energetic team player to help drive preclinical/clinical advancement of our drug portfolios within the Translational Pharmacology and Preclinical Development (TP/PD), Pharmacology group.

Responsibilities


This pharmacology position requires a Scientist/Senior Scientist with at least 2 years industry experience in the preclinical development of cancer immunotherapies. The scientist will be responsible for validating therapeutics that have been engineered to engage a variety of immune effector pathways. Specifically, to develop novel animal models and conduct complex in vivo and ex vivo murine tumor studies with the goal of advancing leads to the clinic. The individual will be expected to have:
Strong background in one or more areas of tumor biology, immunology, oncology, and/or immuno-oncology
Experience with independent design, execution, analysis, and reporting of non-clinical animal pharmacology, pharmacokinetic (PK) and pharmacodynamic (PD) studies
Communicate key scientific data to project teams with clear interpretation of data and proposal of next steps
Qualifications
Ph.D. degree with a minimum of 2 years industry experience evaluating oncology or immuno-oncology drug products in preclinical efficacy models
Independently plan and execute complex anti-tumor efficacy, PK, and PD studies in mice including: cell culture, dosing (IV, SC, IP), tumor measurement, as well as the dissection of organs for subsequent ex vivo analysis
Design flow cytometry (FACS) panels and perform FACS analysis on human and murine cells, tumors, and tissues
Develop novel murine models to investigate combinatorial immuno-therapeutic strategies
Must be highly motivated and work successfully in cross-functional teams by contributing data and ideas
Demonstrated ability to multi-task, troubleshoot, think critically and interpret data
Clear and professional verbal and written communication skills, including maintaining detailed and accurate protocols and lab notebooks
Please submit resume for Req. #2039 to jobs@sutrobio.com. Please visit our website at www.sutrobio.comfor more information. Local candidates, SF Bay Area.

Sutro provides a competitive benefits package that includes a choice of health, dental, and vision insurance, life insurance, flexible spending accounts, 401K plan, PTO, and stock options.

Sutro Biopharma is committed to the diversity of our team and we are committed to Equal Employment Opportunity without regard for race, ethnicity, gender, protected veteran status, disability, sexual orientation, gender identity or religion.

Salaries listed on jobsites may not be representative of salary ranges at Sutro Biopharma.

Please be advised, inquiries or resumes from recruiters will not be accepted.",4.3,Dun & Bradstreet,"Austin, TX","South San Francisco, CA",51 to 200 employees,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,0,70,116,93.0,Austin, TX,0,17,other,n/a,0
Sr. Data Scientist,70-116 ,"Sr. Data Scientist
Curative is scaling up COVID-19 testing and is seeking to roll-out testing across the US. Started 9 weeks ago, we now do 10k+ tests a day (over 4% of the US volume). We seek data scientists to help us optimize performance and identify problems quickly, to fight this pandemic. We generate millions of data points each day about our test, the disease and our patients.
We need driven data scientists to begin solving the following projects:
- Forecasting testing demand from each location for the next few days
- tracking lab performance
- spotting anomalies in the lab that indicate bad batches of reagent
- predicting bottlenecks in our lab processes
- supply chain monitoring
- optimizing routing kits to labs for the fastest test turnaround time
Ideal candidate:
- experience with Python and Postgres
- experience modeling, understands basic statistical concepts
- great at communicating, can work with Lab Operations and assay scientists
- can generate visualizations and metrics to answer questions from across the company and track key metrics
- can work quickly, on their own and with a remote team
- comfortable in a startup environment: confident building from scratch, fast changing requirements and nothing is someone else's problem.
Job Type: Full-time
Experience:
applicable: 5 years (Required)
Start-Ups: 1 year (Preferred)
Python: 3 years (Required)
Education:
Doctorate (Preferred)
Work authorization:
United States (Required)
Benefits:
Health insurance
Dental insurance
Vision insurance
Paid time off
Work from home
This Company Describes Its Culture as:
Innovative -- innovative and risk-taking
Aggressive -- competitive and growth-oriented
Schedule:
Overtime
8 hour shift
On call
Other
Company's website:
https://www.curativeinc.com/
Benefit Conditions:
Waiting period may apply",4.0,"Curative Inc,","San Dimas, CA","Racine, WI",51 to 200 employees,1949,Nonprofit Organization,Social Assistance,Non-Profit,Unknown / Non-Applicable,-1,0,70,116,93.0,San Dimas, CA,0,71,data scientist,Experienced,0
Data Scientist,70-116 ,"JOB DESCRIPTION:

Do you have a passion for Data and Machine Learning? Do you dream of working with customers on their most forward-looking AI initiatives? Does the challenge of developing modern machine learning solutions to solve real-world manufacturing problems exciting to you?

We develop software for monitoring semiconductor manufacturing process and are looking to leverage the latest technologies to address our customer's needs. You will be part of a team that investigates and builds solutions based all the data available in factories, ranging from time series data, to post manufacturing data, to production logs. You will be working side by side with application developers and customers on real world problems with actual manufacturing data.

JOB FUNCTION:

Basic and applied research in statistical machine learning, deep learning, and data science as well as signal and information processing to advance the state of the art in time series analysis of semiconductor manufacturing data.

Responsibilities:
Perform data analysis, data pre-processing, and feature engineering in support of advanced machine learning algorithm development. Incorporate physical and operational insights/constraints into statistical models to achieve a high degree of robustness.
Prototype algorithms for proof of concept, validation, and software implementation.
Support performance evaluations and the transition of algorithms into existing fault detection and classification systems.
Convey the results of scientific research to sponsors and the scientific community through briefings, conferences and peer-reviewed publications.
Other related functions as assigned.

REQUIRED QUALIFICATIONS:
Bachelor's degree in computer science or chemical engineering or related technical field.
Demonstrated ability in machine learning/artificial intelligence (ML/AI) development and/or scientific modelling and data analysis.
Demonstrated ability with python/MATLAB or similar abstract language. Experience with both traditional ML and modern deep learning approaches.
Experience with agile development practices and Git version control.
Experience with one or more of the DNN frameworks like TensorFlow, PyTorch, Chainer.
Experience with SQL, Graph stores, or NoSQL stores.
Applicant must have a dynamic skill set, be willing to work with new technologies, be highly organized and capable of planning and coordinating multiple tasks. The position will require attention to detail, effective problem solving skills and excellent judgment. Ability to work independently with sensitive and confidential information, maintain a professional demeanor, work as a team member without daily supervision.

COMPENSATION & BENEFITS:

Compensation will be commensurate with experience including a competitive base salary, bonus opportunity, competitive benefits package, and relocation assistance.

INFICON, is committed to ensuring that our online application process provides an equal opportunity to all job seekers that apply without regard to race, religion, ethnicity, national origin, citizenship, gender, age, protected veteran status, disability status, genetic information, sexual orientation, or any other protected characteristic. A notice describing Federal equal employment opportunity laws is available here and here to reaffirm this commitment.

PI120660357",3.5,INFICON,"Newton, MA","Bad Ragaz, Switzerland",501 to 1000 employees,2000,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),"MKS Instruments, Pfeiffer Vacuum, Agilent Technologies",0,70,116,93.0,Newton, MA,0,20,data scientist,n/a,3
Data Scientist,70-116 ,"The Data Scientist may be responsible for any of the following tasks: Analyzing data that is collected in our current and future products and services. The Data Scientist would need to be able to take this data and apply to the markets our products are in for us to better serve our customers. The Data Scientist must have good communication and organization skills, along with a working knowledge of day to day operations and priorities within their department and the company.

Qualifications: Bachelors or Masters Degree in Statistics or Mathematics preferred or any other quantitative discipline, knowledge of the products and customers of the Auction and Heavy Equipment industries, technical expertise regarding data models, database design and development, data mining and segmentation techniques, strong skills working with technical aspects of SQL, knowledge of statistics and experience using statistical packages for analyzing large datasets, strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy, adept at queries, report writing, and present findings, excellent oral and written communication skills, able to work independently and communicate within a team environment, results oriented, flexible and open to change, stable and progressive work history, professional appearance and demeanor, ability to travel by air and ground -- valid driver’s license required, strong computer skills, able to work with minimal supervision.",2.8,Sandhills Global,"Lincoln, NE","Lincoln, NE",1001 to 5000 employees,1978,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),-1,0,70,116,93.0,Lincoln, NE,1,42,data scientist,n/a,0
Data Scientist,70-116 ,"Company Overview

Imagine if we could match patients with the treatments that prove the most effective for them . . .
GNS Healthcare applies a powerful form of AI called causal machine learning to predict which treatments and care management programs will work for which patients, improving individual patient outcomes and the health of populations while reducing the total cost of care.

Headquartered in the biotechnology and health IT center of Cambridge, MA, our patented REFS technology is based on recent breakthroughs in causal machine learning and AI that transforms massive quantities of patient data into computer models of disease at molecular, patient, and health system levels. These computer models power up solutions, products, and services that health plans, biopharmaceutical companies, health systems, and patient foundations utilize to slow disease progression, reduce adverse events and hospitalization, and improve therapeutic effectiveness. Our platforms and solutions have been validated across more than 45 diseases including oncology, cardiovascular and metabolic disease, autoimmune diseases, neurology, etc. and have appeared in over 50 peer-reviewed publications.

Position Summary

The Data Scientist will join a dynamic team responsible for start-to-finish work on the analysis and interpretation of real-world datasets using GNSs powerful cloud-based analytics platform. We are looking for someone who thrives working in a fast-paced, exciting, and collaborative environment in one of the most cutting-edge industries where big data analytics meets healthcare. You will help manage real world data, as well as create and interpret data-frames for modeling and analysis. You will collaborate with our research scientists to carry out analysis projects using our proprietary, supercomputer-powered Bayesian network modeling and simulation platform, and will synthesize these results into meaningful reports for clients and product development.

Responsibilities
Collaborate with internal research teams and clients to evaluate study design, define research questions, design data frames, write statistical analysis plans/study protocols, conduct analyses, and participate in the full research process, including client presentation and publication
Communicate highly technical results and methods clearly to clients, discuss how to incorporate information into their processes, and achieve high client satisfaction
Troubleshoot with clients and internal stakeholders to refine and optimize models
Provide scientific communications to peer-reviewed journals and publications
Develop data frames of high complexity while adhering to a project-based timeline
Perform data manipulations and develop algorithms on multi-data sets that create the analytic files necessary to support analyses.
Consult on how to use data to perform predictive and causal modeling using both proprietary and off-the-shelf tools.
Qualifications

Minimum Qualifications: (Title commensurate with experience)
Relevant Bachelors Degree
Experience working with biomedical data/ population health data, EHR or claims data
Demonstrated experience working with programming languages R and SQL
Strong written and verbal communication; an ability to communicate technical material to non-technical audiences simply and clearly and collaborate well on a team
Strong drive for problem solving, especially around data frame construction and interpretation
Preferred Qualifications:
Masters Degree in a quantitative discipline or equivalent practical experience
Demonstrated experience working with advanced ML techniques, probability theory, Bayesian analysis, or causal inference methods
Experience working with large, complex, or unstructured data requiring post-processing to use effectively
Familiarity with the UNIX and cluster computing environment
Company Culture

Our philosophy at GNS is simple: we cannot transform healthcare with anything less than an all-star team. We are seeking smart, driven people who are experts in their field, have a track record of success and a passion for creating change. We believe that strong teams supercharge the performance of individuals, create a fun and dynamic workplace and great results for our clients and the people they serve.

We are passionate about our work and believe in the ability of our technology to change the world. Our core values of integrity, collaboration, value, diversity, and game-changing guide our behaviors with each other and our clients.

GNS offers competitive salaries, stock options, unlimited vacation, health, dental and vision insurance, life insurance, long-term disability, 401(k), generous parental leave, tuition reimbursement, professional development, subsidized parking and gym membership, tasty food, volunteering opportunities, social gatherings, and more.

Equal Employment Opportunity

GNS Healthcare provides equal employment opportunities to all employees and applicants for employment without regard to race, color, national origin, religion, sexual orientation, gender, gender identity or expression, age, veteran status, disability, pregnancy or conditions related to pregnancy, or genetics. In addition to federal law requirements, GNS Healthcare complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities.

Powered by JazzHR",2.9,GNS Healthcare,"Cambridge, MA","Cambridge, MA",51 to 200 employees,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),-1,0,70,116,93.0,Cambridge, MA,1,20,data scientist,n/a,0
