,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist,$64K-$106K (Glassdoor est.),"***Please note: All hiring and recruitment at Spring Health is handled with a valid '@springhealth.com' email address only or from recruitment firms @oxeonpartners.com, @neptunepeople.com, @rivierapartners.com, or @swingtalent.com. If you receive a message from a sender whose domain is not @springhealth.com, please beware that those communications are not authorized or coming from Spring Health. ***

Our mission: helping individuals and organizations thrive by eliminating every barrier to mental health.

Spring Health is a comprehensive mental health benefit for employers. We help employees understand their mental health issues and connect with best-in-class providers to get the right treatment at the right time.

We are an award-winning, passionate, and mission-driven team with the support of leaders in psychiatry, and backed by prominent VCs including Northzone, Rethink, RRE, and General Catalyst. From early detection to full recovery, Spring Health is the only clinically validated solution proven to be more effective than traditional mental healthcare. By combining the latest technology with vetted providers, we engage 1 in 3 employees, reduce recovery times, and reduce healthcare costs.

We are looking for a Data Scientist to join our R&D team. You will be responsible for designing, developing, and implementing data products throughout our organization. You will collaborate with a team of engineers, designers, product managers, social workers, psychologists, and scientists.

We are creating the future of mental healthcare: within your first year, you’ll discover something no human ever knew before about mental health.
What you’ll do at Spring Health:
Develop analytics and secure reporting approaches for a high-performing network of mental health providers
Work with product and engineering teams to improve user acquisition, patient adherence, and clinical outcomes
Develop data infrastructure to ingest and integrate multiple data sources, ETL, validate, and create automated reports for clients
Design and build data deliverables across multiple contexts, such as: claims analyses/financial ROI, longitudinal treatment outcomes, provider quality, and risk stratification algorithms
What we expect from you:
BA/BS in Psychology, Economics, Biology, Biochemistry, or other STEM-related field.
Fluency in R
Strong presentation skills — fluently tell a compelling clinical or business story with data
Strong written communication skills — quickly compose client-facing communications or publications for peer-review
Experience with Git, Python, SQL, parallel/distributed computing, cloud computing, and other data science toolkits
Experience or knowledge of traditional statistics, e.g. measures of central tendency, descriptive statistics, and inferential statistics
Possess the initiative and ability to self-direct projects and solve unconventional problems
Proximity to NYC: minimum 2 days per week in our NY HQ, max 3 days remote
What we’d love to see:
STEM PhD— especially in Applied Sciences (e.g. Biostatistics, Psychiatry, Psychology, Biological Sciences), or 3-4 years of equivalent data analysis experience
Experience using any of the following data: EMR, clinical trials, claims data, longitudinal
Demonstrated passion for, and understanding of, mental illness and broader U.S. healthcare system
Experience programming and testing statistical/machine learning models
Experience using data visualization techniques to present key findings
Ability to quickly and independently pick up concepts and skills
Experience working cross-functionally with operations, product, engineering, and design teams
Why you’ll love working at Spring Health:
Competitive compensation plan, including equity in the company: we want you to own a piece of what you’re building.
Comprehensive benefits: we offer 401k, health, dental and vision benefits as well as free mental healthcare!
World-leading science: we’re shaping the future of mental healthcare, and are at the forefront of peer-reviewed science. You’ll be the first human to discover something about how to treat mental illness.
Flexible vacation plan: our open vacation-policy allows you to take the time off you need when you need it.
Great people: make an impact on something that truly helps people alongside an incredible team.
We care about diversity: diversity allows us to build an excellent patient experience. We are an equal opportunity employer and we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
We value: humility, entrepreneurship, passion for mental health, honesty and candor/directness
If you're interested in the role, please submit your CV/Resume via email to careers@springhealth.com, along with one code sample and one writing sample.

The code samples can be in any language, and the writing sample should either be 250 words, or include a 250 word abstract. Communication skills are really important to us, and we are particularly looking for a simple, direct writing style and the ability to articulate a question and research methodology clearly.",3.6,"Spring Health
3.6","New York, NY","New York, NY",1 to 50 employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
1,Data Scientist,$64K-$106K (Glassdoor est.),"Secure our Nation, Ignite your Future

Join the top Information Technology and Analytic professionals in the industry to make invaluable contributions to our national security on a daily basis. In this innovative, self-contained, Big Data environment, the ManTech team is responsible for everything from infrastructure, to application development, to data science, to advanced analytics and beyond. The team is diverse, the questions are thought-provoking, and the opportunities for growth and advancement are numerous

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies

Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Desired Experience, Skills & Technologies
Previous investigative experience, using a combination of technical and analytic skills
#LI-DU1

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"ManTech
4.2","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
2,"Data Scientist - Statistics, Early Career",$64K-$106K (Glassdoor est.),"*Organization and Job ID**
Job ID: 310918

Directorate: National Security Directorate

Division: Computing & Analytics

Group: Applied Statistics & Computational Modeling
*Job Description**
This position is for a Scientist in Data Science and Applied or Mathematical Statistics who will provide scientific and technical research within the National Security Directorate (NSD) supporting the data analytics capabilities of the Computational Analytics Division. The Scientist will develop and apply fundamental mathematical or statistical theory to advance analytic solutions in various scientific domains. The Scientist must be able to draw from a strong statistical background, in areas including experimental design, advanced statistical modeling (e.g. mixed linear models, nonparametric models, etc.), machine learning, and computer simulations, to recognize patterns, characterize uncertainty, and develop predictive models using structured and unstructured data. The Scientist will produce solutions driven by domain science and mathematical statistical science from complex and high-dimensional datasets and design, develop, and evaluate advanced algorithms that lead to optimal value extraction from data. In addition to technical research this position expects participation and career development in task management, proposal writing, business development, and publishing.

Operating on the data-information-knowledge continuum, staff at PNNL employ diverse methods to confront significant problems of national interest from distilling distributed data into knowledge that supports decision processes to enabling resilient technologies that enhance computing at extreme scales. Our research portfolio spanning from basic to applied includes statistical modeling and experimental design, applied statistics, applied mathematics, machine learning, operations research, optimization, and other advanced statistical and mathematical domains.

Computing researchers and practitioners work side by side to apply advanced theories, methods, algorithms, models, evaluation tools and testbeds, and computational-based solutions to address complex scientific challenges affecting energy, biological sciences, the environment, and national security. Core domain knowledge is beneficial, such as in the nuclear, biological, energy, materials, or chemical science spaces.
*The hiring level will be determined based on the education, experience, and skill set of the successful candidate based on the following:**
*Level II** : Leads specific tasks of the project to meet scope, schedule and budget. Expected to contribute professionally, building a professional reputation for technical expertise. Fully applying and interpreting standard theories, principles, methods, tools and technologies. Contributes technical content to proposals and develops business through excellent project performance.
*Level III:** Manages small to moderate projects and/or major project tasks. Integrates intellectual and technical capabilities of work teams. Enhances technical/professional skills of junior staff through active mentoring and training. Generates ideas for new proposals and participates in business development activities
*Minimum Qualifications**
+ BS/BA with 2 years of experience, MS/MA with 0 years of experience, or PhD with 0 years of experience
*Preferred Qualifications**
+ BS/BA with 5 years of experience, MS/MA with 3 years of experience, or PhD with 1 year of experience, focused in statistics with experience involving increasing levels of scientific research, task management, and programmatic responsibility

+ Position requires ability to apply theories and develop technical approaches with minimal oversight

+ Position requires the ability to effectively team with scientists and engineers to develop creative solutions to complex problems
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
*Other Information**
Due to business needs and client space, US Citizenship is required:

The Pacific Northwest National Laboratory is subject to the Department of Energy Unclassified Foreign Visits & Assignment Program site, information, technologies, and equipment access requirements.

_Directorate:_ _National Security_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Appld Stats & Comp Modeling_

_Opening Date:_ _2020-06-03_

_Closing Date:_ _2020-09-01_",3.8,"Pacific Northwest National Laboratory
3.8","Seattle, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
3,Data Scientist,$64K-$106K (Glassdoor est.),"JOB DESCRIPTION:

Do you have a passion for Data and Machine Learning? Do you dream of working with customers on their most forward-looking AI initiatives? Does the challenge of developing modern machine learning solutions to solve real-world manufacturing problems exciting to you?

We develop software for monitoring semiconductor manufacturing process and are looking to leverage the latest technologies to address our customer's needs. You will be part of a team that investigates and builds solutions based all the data available in factories, ranging from time series data, to post manufacturing data, to production logs. You will be working side by side with application developers and customers on real world problems with actual manufacturing data.

JOB FUNCTION:

Basic and applied research in statistical machine learning, deep learning, and data science as well as signal and information processing to advance the state of the art in time series analysis of semiconductor manufacturing data.

Responsibilities:
Perform data analysis, data pre-processing, and feature engineering in support of advanced machine learning algorithm development. Incorporate physical and operational insights/constraints into statistical models to achieve a high degree of robustness.
Prototype algorithms for proof of concept, validation, and software implementation.
Support performance evaluations and the transition of algorithms into existing fault detection and classification systems.
Convey the results of scientific research to sponsors and the scientific community through briefings, conferences and peer-reviewed publications.
Other related functions as assigned.

REQUIRED QUALIFICATIONS:
Bachelor's degree in computer science or chemical engineering or related technical field.
Demonstrated ability in machine learning/artificial intelligence (ML/AI) development and/or scientific modelling and data analysis.
Demonstrated ability with python/MATLAB or similar abstract language. Experience with both traditional ML and modern deep learning approaches.
Experience with agile development practices and Git version control.
Experience with one or more of the DNN frameworks like TensorFlow, PyTorch, Chainer.
Experience with SQL, Graph stores, or NoSQL stores.
Applicant must have a dynamic skill set, be willing to work with new technologies, be highly organized and capable of planning and coordinating multiple tasks. The position will require attention to detail, effective problem solving skills and excellent judgment. Ability to work independently with sensitive and confidential information, maintain a professional demeanor, work as a team member without daily supervision.

COMPENSATION & BENEFITS:

Compensation will be commensurate with experience including a competitive base salary, bonus opportunity, competitive benefits package, and relocation assistance.

INFICON, is committed to ensuring that our online application process provides an equal opportunity to all job seekers that apply without regard to race, religion, ethnicity, national origin, citizenship, gender, age, protected veteran status, disability status, genetic information, sexual orientation, or any other protected characteristic. A notice describing Federal equal employment opportunity laws is available here and here to reaffirm this commitment.

PI120660357",3.5,"INFICON
3.5","Newton, MA","Bad Ragaz, Switzerland",501 to 1000 employees,2000,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),"MKS Instruments, Pfeiffer Vacuum, Agilent Technologies"
4,Associate Business Intelligence Data Scientist,$64K-$106K (Glassdoor est.),"Blending customer advisory, customer support, and customer experience, Carousel’s supercharged Customer Success Obsessed mission goes beyond any one IT function. Rather, it’s a mindset, a mantra, and a company-wide drive to bring extreme technology value to Carousel customers—so they can bring value to theirs.
With deep expertise across a vast portfolio of technologies, including security, unified communications and collaboration, data center, networking, managed services, and cloud solutions, Carousel can design, implement, and support solutions tailored to meet the unique needs of each customer. By offering professional and managed services with flexible deployments in the cloud, Carousel ensures customers achieve agility and use technologies in the way most effective for their business.
A legion of 1,300, the Carousel team has been committed to the art of customer success for its more than 6,000 highly satisfied customers since 1992. The company has been recognized by multiple publications and industry consortiums as a top technology integrator and managed services and cloud solution provider—including the Inc. 500/5000, Healthcare Informatics 100, and CRN MSP Elite 150. Headquartered in Exeter, RI, the company has offices across the United States and internationally—with three Network Operations Centers. To learn more, visit CarouselIndustries.com.

Position Summary:
The Associate Business Intelligence Data Scientist is responsible for leveraging large quantities data to assist executives, business partners, and employees to make data-driven decisions. This position will focus largely on defining data relationships (inclusive of off-system spreadsheets), data mining and data modeling which will be the basis for actionable intelligence dashboards and reports. The Associate BI Data Scientist will utilize their experience to explore data, applying statistical techniques, and designing dashboards and reports that provide value to the company and its people. This position will collaborate with BSO Infrastructure and Systems Teams along with other subject matter experts to evolve a robust reporting universe that is streamlined and transparent. The Associate BI Data Scientist will report to the Director, Business Process and Continuous Improvement and join a highly agile cross-functional team that leads some of the most critical projects for the BSO department and Carousel Industries as an organization.
Essential Duties and Responsibilities:
Provide descriptive data analysis, and creative problem-solving using SQL programming language
Lead projects regarding data exploration, relationship management and data-driven story telling
Ability to create practical, actionable plans that are coherent and understood by stakeholders
Partner with BSO teams, business, and functional groups to provide actionable intelligence regarding operational effectiveness and revenue growth
Gather, manipulate, and explore large datasets to test hypotheses and extract useful insights
Create and manage reporting, data narratives, and analytics deliverables for the CI Governance board and committee
Build innovative data models, reports and dashboards
Troubleshoot data conflicts and inconsistencies through data mining and collaboration with the business teams
Evaluate and develop data monitoring reports to provide further insight into process and change management
Develop roadmaps with proposed solutions from an end-to-end perspective
Partner with clients to promote evidence-based decision-making and devise action plans that influence behavior changes
Investigate and create trend analysis models to promote operational effectiveness

Qualifications:
B.S. in a quantitative field required, or minimum of 2 years related experience.
Experience in financial and/or sales driven data modeling is a plus.
Demonstrated analytical, troubleshooting, and problem-solving skills.
Business Process Mapping exposure.
Attention to detail and ability to deliver and support a quality service experience.
Experience presenting in front of small to medium group environments.
Demonstrated experience with industry report writers such as Power BI, Tableau, Business Objects SSRS, or other BI reporting solutions.
Experience with basic to intermediate level coding in statistical programming languages. R and or Python preferred.
Experience with Salesforce, ServiceNow, Sage Intacct preferred.
Experience with writing/updating basic to intermediate (SQL) queries.
Strong problem-solving skills.
Superior verbal and written communication skills.
Ability to organize and prioritize concurrent projects.
Ability to work independently and collaboratively.
Create, maintain, and optimize reports, including SQL statements, views, functions, and stored procedures.
Effectively gather requirements and design new reports, troubleshoot, research, and correction of reports and database objects requiring review.
Accurately estimate effort for requested custom reports.
Carousel Industries is an Equal Opportunity Employer: Carousel provides equal employment opportunity to all employees and applicants for employment free from unlawful discrimination based on race, color, religion, gender, age, national origin, disability, veteran status, marital status, sexual orientation or any other status or condition protected by local, state or federal law.",3.1,"Carousel Industries
3.1","Exeter, RI","Exeter, RI",1001 to 5000 employees,1992,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),-1
5,Staff Data Scientist - Analytics,$64K-$106K (Glassdoor est.),"Intuit is seeking a Staff Data Scientist to cover Intuits Consumer Group (TurboTax, Mint, Turbo). We have an exciting opportunity to help shape how we use data to generate hypotheses, surface insights, and build models in order to personalize customer experiences and provide awesome outcomes for the business and our customers. This role will partner closely with data engineering, data analytics, data science, marketing managers, and product management.",4.5,"Intuit - Data
4.5","San Diego, CA","Mountain View, CA",5001 to 10000 employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Square, PayPal, H&R Block"
6,Data Analyst,$64K-$106K (Glassdoor est.),"Data Analyst

Location: Fort Meade, MD

Department: Defense Intelligence Agency (DIA)/ CYBERCOM

Type: Full Time

Minimum Experience: Experienced

Security Clearance Level: Active TS/SCI w/ CI Poly

*The clearance level stated above must be met for consideration for this specific opportunity. Unfortunately, FTC is unable to sponsor at this time.

Military Veterans and individuals with disabilities are encouraged to apply!

Favor TechConsulting, LLC (FTC) is seeking a talented Data Analyst/Operations Research Analyst with experience within the Intelligence Community.

Essential Duties and Responsibilities:

Provide operations research analysis to support a US CYBERCOMs J2 and Joint Intelligence Operations Center. Work with security defense and combatant command assessments of past activities to progress toward campaign objectives. Leverage advanced technologies, scientific principles, theories, and concepts to assist the client with advancing performance and operating efficiently. Assist the client with planning programs, including recommending technological application programs to accomplish long-range objectives.

Expected Experience:
Prior experience as an Operations Research Analyst
Experience in working with web developers to create leadership and SME dashboards, including web-enabled data collection for operations, activities, and investments (OAIs)
Ability to build analytical models for strategic and campaign assessments, including military assessment and strategic risks
High Desirable: Prior Intelligence Experience (such as All-Source, CI, HUMINT, SIGINT)
Strong ability to use and create MS Office products such as word documents, PowerPoint, access and excel databases.
Able to work independently and without direct supervision.
Education and/or Work Experience Requirements:
Five (5) years minimum experience. Bachelors degree in Computer Science, Engineering, Engineering Management, Math, or equivalent. An additional four years of relevant of experience may be considered as a substitute.
Physical Requirements:
Ability to safely and successfully perform the essential job functions consistent with the ADA, FMLA and other federal, state and local standards, including meeting qualitative and/or quantitative productivity standards.
Ability to maintain regular, punctual attendance consistent with the ADA, FMLA and other federal, state, local, and organizational standards
Must be able to talk, listen and speak clearly on telephone
Expert-level command of the English language
Additional Information:

U.S Citizenship is required for this specific opportunity and all selected applicants will be subject to a government security investigation. This includes but not limited to; meeting the eligibility requirements for access to classified information and the ability to obtain a government-granted security clearance. Individuals may also be subject to a background investigation including, but not limited to; criminal history, employment verification, education verification, drug testing, and creditworthiness.

Favor TechConsulting is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, marital status, disability, veteran status, sexual orientation, or genetic information.

Powered by JazzHR",4.1,"Favor TechConsulting
4.1","Fort Meade, MD","Vienna, VA",201 to 500 employees,2007,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1
7,Data Scientist,$64K-$106K (Glassdoor est.),"Job Brief

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Overview

IFG Companies is in search of a Data Scientist to join its growing Predictive Modeling team.

The ideal candidate will have previous Data Modeling experience. Strong preference will be given to candidates with an actuarial background in the property and casualty insurance space.

Responsibilities
Build predictive and/or Machine Learning models in SAS
Research new statistical and mathematical techniques that are suitable and helpful for solving business related problems
Prepare data for modelling and make best/creative use of applicable and available internal or external data
Identifying and integrating new datasets that can be leveraged for modeling efforts
Support related processes around effectively deploying model to business
Effectively communicate results in written, oral and presentation formats to technical and non-technical audiences
Qualifications
Bachelor’s degree in statistics, applied mathematics, or related discipline
3+ years of Data Modeling or similar experience.
Experience with predictive modeling (classification, regression, parameter tuning, optimization criteria, feature selection), preferably with multiple techniques
Experience in model validation techniques, model testing and continuous monitoring of model performance
Experience in Property & Casualty Insurance is strongly preferred.
Demonstrated experience working with large relational data sets.
Working knowledge in SAS, R, Python or another platform to develop and implement predictive models.
Ability and willingness to quickly gain knowledge of SAS enterprise guide and enterprise miner.
Ability to communicate complex technical information in common language to foster teaching and analytics guidance to internal customers.
Advanced experience in analytics, data cleaning, and predictive modeling.
Ability to write queries in SQL.
Detail-oriented and ability to work collaboratively
Physical Demands
Physical demands are considered to be that of an office environment, climate controlled, with minimal physical exertion. This position requires prolonged sitting, ability to utilize a computer and interactions with others in meetings or via phone.
Benefits
We offer a competitive compensation and benefits package including medical, dental, vision, 401(k), flexible spending, short-term and long-term disability insurance, life insurance, long-term care, education assistance and paid time off.
IFG Companies is an equal opportunity employer committed to a diverse workforce. M/F/D/V",2.9,"IFG Companies
2.9","New York, NY","Hartford, CT",201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,"Colony Specialty, Markel, RLI"
8,Data Scientist / Machine Learning Expert,$64K-$106K (Glassdoor est.),"Posting Title
Data Scientist / Machine Learning Expert

04-Feb-2020

Job ID
288341BR

Job Description
ONE Global Discovery Chemistry Community working across 7 disease areas at the Novartis Institutes for BioMedical Research (NIBR) is seeking a highly talented and motivated Data Scientist to join our Global Discovery Chemistry Department in Cambridge, MA. The successful candidate will join an energizing and collaborative research organization, working alongside colleagues who are committed to improving human health through the discovery of transformative medicines.

We are seeking a unique data scientist with the skills, experience and passion to extract new knowledge and disruptive insights from the large and rich body of data collected by one of the world’s leading pharmaceutical companies. You will be a member of our global Computer-Aided Drug Discovery (CADD) group, an interdisciplinary team of expert molecular modelers, cheminformaticians, and data scientists. Teamed up with domain experts from biology, chemistry and translational medicine, this is a unique opportunity to develop and apply cutting-edge machine learning technologies to uncover insights to real-world drug discovery problems and innovate paths to new medicines.

Your responsibilities include:
•Develop and implement methods for extracting patterns and correlations from both internal and external data sources using machine learning toolkits
•Develop workflows for conducting comparative analysis among Novartis’ diverse data sources as well as generalizing approaches developed in-house or externally.
•Enable open-source solutions for internal use and implement cutting-edge published scientific methods.
•Develop customized machine learning solutions including data querying and knowledge extraction.
•Interact and be part of interdisciplinary project teams to drive effective decision-making by mining and developing predictive models
•Develop new skills in the area of cheminformatics and drug discovery and leverage those to accelerate development of new machine learning algorithms
•Keep ahead of scientific literature and interact with internal and external scientists to integrate novel data science technologies

Minimum requirements
Education:

Advanced degree (M.Sc. or higher) in data science and machine learning, statistics, computer sciences, cheminformatics, mathematics, computational chemistry, computational biology, bioinformatics, or related field.

Minimum experience & skills:

•In-depth experience with modern and classical machine learning methods
•Strong statistical foundation with broad knowledge of supervised and unsupervised techniques
•Programming experience (preferred Python, R, C++) preferably in Linux and high-performance computing environments
•Good listener - strong, concise, and consistent written and oral communication
•Talent for communicating stories through data visualizations
•Proven ability to collaborate with others
•A passion for tackling challenging problems and developing creative solutions
•A drive for self-development with a focus on scientific know-how

Additional qualifications that will help in the role:
•Demonstrated impact using machine learning libraries, such as scikit-learn, PyTorch or similar in a cheminformatics context
•Hands on experience with data analysis software such as Spotfire, R-shiny or similar
•Working experience with open-source cheminformatics toolkits such as RDKit
•Working experience with source-code management systems such as Git/github/bitbucket
•Familiar with the foundational concepts in molecular biology, pharmacology or medicine. Working knowledge of medicinal chemistry and drug discovery is a plus

Why consider Novartis?

750 million. That’s how many lives our products touch. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?

We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.

We are Novartis. Join us and help us reimagine medicine.

Job Type
Full Time

Country
USA

Work Location
Cambridge, MA

Functional Area
Research & Development

Division
NIBR

Business Unit
Global Discovery Chemistry

Employment Type
Regular

Company/Legal Entity
NIBRI

EEO Statement
The Novartis Group of Companies are Equal Opportunity Employers and take pride in maintaining a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or any other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, marital or veteran status, disability, or any other legally protected status.

Shift Work
No",3.9,"Novartis
3.9","Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
9,Data Analyst,$64K-$106K (Glassdoor est.),"File #: 2020-26-0616
Position: Data Analyst –Temporary Full Time, contract until October 31, 2020
Department: Decision Support
Location: Work From Home until further notice, return to work location: 89 Queensway, Mississauga, ON (Trillium Health Partners – Mississauga Hospital Location)
Posted: June 16, 2020
Application Deadline: Posted until filled
Application deadline for internal candidates: June 23, 2020

Established in 2001, Shared Services West is a not-for-profit shared services organization with expertise in supply chain management, process optimization, and redevelopment planning. Working collaboratively with our stakeholders, we deliver cost-efficient services with a focus on innovative solutions.
As a company, we are built upon a family ethos. We are proud of our values and our culture, which are at the heart of our company. They set the standard for how we behave and work.

IS THIS YOU?
You are a data analyst interested in growing your career and specializing in the healthcare industry. You thrive in a fast-paced, team environment and value contributing to high quality data. You enjoy working with large data sets and are detail oriented. You are willing to go the extra mile for the stakeholders you serve and members on your team.

JOB SUMMARY
The Data Analyst will report to the Manager of Business Intelligence. Primarily, this role will be responsible for the execution of a Materials Management system data merger/migration project. The Data Analyst may also be required to support operational reporting and assist with the development of new reports for the project and ongoing operations.

PRIMARY RESPONSIBILITIES:
The primary duties and responsibilities include, but are not limited to:
Collaborative work with internal and external customers to answer questions and offer guidance.
Creation and analysis of reports and statistics used in decision support or for other business projects.
Reviewing, improving, implementing and monitoring process improvements.
Providing analysis and reports as needed to the SSW Senior Management.
In consultation with the Data Management team and Business Intelligence team, identifying and implementing operational processes to improve database management.
Other duties as assigned.

POSITION REQUIREMENTS
Education:
Undergraduate degree/diploma in Business, Finance, Sciences, or related analytical discipline.
Work Experience:
Minimum of 1 year experience in an Analytical role
Experience in a healthcare environment is an asset
Knowledge and Understanding:
Thorough understanding of the concepts of supply chain functions and analytics
Knowledge and understanding of Broader Public Sector Procurement Directives is an asset
Understanding of business operating and financial processes
Technical Skills:
Advanced MS Excel skills
SQL or database reporting considered an asset
Candidates will be asked to complete a compulsory Excel test
Personal Skills:
People interaction
Willingness to learn and a continuous improvement mindset
Team Player
Able to manage multiple and competing priorities
Communication
Customer focus
Conflict resolution
Self-motivated
WORK ENVIRONMENT
Work From Home until further notice, return to work location is Trillium Health Partners, Mississauga Hospital, 89 Queensway, Mississauga, ON., Canada (8:30am-4:30pm)
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
SSW Employees enjoy:
Competitive compensation.
Generous vacation entitlement.
One of the top pension plans in Ontario (Healthcare of Ontario Pension Plan-HOOPP).
Employee & Family Assistance Program (EFAP).
Flexible environment.
Family feel culture.
Professional development opportunities.

To apply, please email your resume to careers@ssw.ca indicating the position title and posting # in the subject line. As part of the initial recruitment process, selected candidates will be asked to complete a Job Description Feedback form. Please note that this does not guarantee advancement to the next step in the recruitment process. We thank all applicants for their interest in Shared Services West. Only qualified candidates selected for interviews will be contacted. If contacted for an interview, please inform us should any accommodation be required.",4.4,"Shared Services West
4.4",Remote,"Burlington, Canada",51 to 200 employees,2001,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,Plexxus
